CNPJ;Velocidade;Município;UF;Faixa de Velocidade;Tecnologia;Empresa;Porte da Prestadora;Tipo de Pessoa;Tipo de Produto;Código IBGE Município;Grupo Econômico;Meio de Acesso;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06
00497373000110;200;Barra Mansa;RJ;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;3300407;SKY/AT&T;Fibra;;;2;3;7;9
00497373000110;200;Cabo Frio;RJ;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;3300704;SKY/AT&T;Fibra;25;28;27;27;23;27
00497373000110;200;Rio das Ostras;RJ;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;3304524;SKY/AT&T;Fibra;27;30;32;31;31;33
00497373000110;200;Volta Redonda;RJ;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;3306305;SKY/AT&T;Fibra;;5;10;14;19;25
00497373000110;200;São Paulo;SP;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;3550308;SKY/AT&T;Fibra;;;1;;;
00497373000110;200;Concórdia;SC;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4204301;SKY/AT&T;Fibra;9;9;9;9;7;10
00497373000110;200;Concórdia;SC;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;4204301;SKY/AT&T;Fibra;1;1;1;1;1;1
00497373000110;200;Imbituba;SC;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4207304;SKY/AT&T;Fibra;;;1;1;1;1
00497373000110;200;Mafra;SC;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4210100;SKY/AT&T;Fibra;7;7;6;8;8;7
00497373000110;200;Navegantes;SC;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4211306;SKY/AT&T;Fibra;;;;1;2;6
00497373000110;200;São Bento do Sul;SC;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4215802;SKY/AT&T;Fibra;7;7;10;9;9;12
00497373000110;200;Alegrete;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4300406;SKY/AT&T;Fibra;;;;;;4
