CNPJ;Velocidade;Município;UF;Faixa de Velocidade;Tecnologia;Empresa;Porte da Prestadora;Tipo de Pessoa;Tipo de Produto;Código IBGE Município;Grupo Econômico;Meio de Acesso;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06
7,65358E+13;100;Floriano;PI;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2203909;OI;Fibra;125;120;119;118;119;120
7,65358E+13;100;Parnaíba;PI;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2207702;OI;Fibra;575;572;567;562;557;545
7,65358E+13;100;Piripiri;PI;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2208403;OI;Fibra;21;21;20;20;20;20
7,65358E+13;100;Teresina;PI;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2211001;OI;Fibra;1296;1259;1235;1219;1214;1197
7,65358E+13;100;Várzea Grande;MT;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;5108402;OI;Fibra;394;411;429;453;461;464
7,65358E+13;100;Cascavel;PR;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;4104808;OI;Fibra;1407;1389;1371;1184;620;502
7,65358E+13;100;Fortaleza;CE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2304400;OI;Fibra;5158;5188;5202;5195;5241;5450
7,65358E+13;100;Iguatu;CE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2305506;OI;Fibra;9;12;10;12;13;14
7,65358E+13;100;Juazeiro do Norte;CE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2307304;OI;Fibra;454;452;442;456;450;450
7,65358E+13;100;Maracanaú;CE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2307650;OI;Fibra;26;27;29;32;37;37
7,65358E+13;100;Morrinhos;GO;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;5213806;OI;Fibra;351;345;338;327;330;329
7,65358E+13;100;Sobral;CE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2312908;OI;Fibra;17;20;21;23;23;28
7,65358E+13;100;Mossoró;RN;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2408003;OI;Fibra;24;21;19;20;24;24
7,65358E+13;100;Natal;RN;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2408102;OI;Fibra;1101;1137;1158;1175;1193;1187
7,65358E+13;100;Santa Maria;RS;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;4316907;OI;Fibra;1357;1351;1355;1366;1373;1383
7,65358E+13;100;Campina Grande;PB;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2504009;OI;Fibra;306;292;277;267;263;263
7,65358E+13;100;Itabaiana;SE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2802908;OI;Fibra;26;26;24;27;27;28
7,65358E+13;100;João Pessoa;PB;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2507507;OI;Fibra;671;637;602;596;597;580
7,65358E+13;100;Paulista;PE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2610707;OI;Fibra;35;33;32;31;30;32
7,65358E+13;100;Cabo de Santo Agostinho;PE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2602902;OI;Fibra;14;14;14;15;15;15
7,65358E+13;100;Caruaru;PE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2604106;OI;Fibra;1008;976;946;897;881;866
7,65358E+13;100;Floresta;PR;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;4107900;OI;Fibra;45;44;44;37;14;12
7,65358E+13;100;Goiana;PE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2606200;OI;Fibra;18;18;17;16;16;25
7,65358E+13;100;Jaboatão dos Guararapes;PE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2607901;OI;Fibra;10;10;7;10;10;11
7,65358E+13;100;Olinda;PE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2609600;OI;Fibra;903;912;870;801;788;767
7,65358E+13;100;Petrolina;PE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2611101;OI;Fibra;212;204;198;198;202;194
7,65358E+13;100;Recife;PE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2611606;OI;Fibra;2099;2130;2076;1916;1903;1870
7,65358E+13;100;Trindade;GO;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;5221403;OI;Fibra;171;185;193;200;207;206
7,65358E+13;100;Arapiraca;AL;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2700300;OI;Fibra;147;174;183;134;118;125
7,65358E+13;100;Campo Grande;MS;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;5002704;OI;Fibra;3536;3548;3579;3599;3637;3642
7,65358E+13;100;Maceió;AL;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2704302;OI;Fibra;364;358;352;344;333;328
7,65358E+13;100;Marechal Deodoro;AL;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2704708;OI;Fibra;4;5;6;6;4;4
7,65358E+13;100;Aracaju;SE;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2800308;OI;Fibra;2012;2005;1934;1871;1868;1870
7,65358E+13;100;Barreiras;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2903201;OI;Fibra;637;662;634;603;578;538
7,65358E+13;100;Correntina;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2909307;OI;Fibra;1;1;;;;
7,65358E+13;100;Eunápolis;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2910727;OI;Fibra;436;442;439;433;419;409
7,65358E+13;100;Feira de Santana;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2910800;OI;Fibra;355;358;346;339;361;370
7,65358E+13;100;Ilhéus;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2913606;OI;Fibra;184;183;182;187;190;181
7,65358E+13;100;Iraquara;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2914406;OI;Fibra;;;;;1;1
7,65358E+13;100;Itabuna;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2914802;OI;Fibra;516;507;480;477;486;491
